species,distance_to_mean_shape,closest_species,distance_to_closest,furthest_species,distance_to_furthest,ficha_en,ficha_es,fuentes_wikipedia
Luria_cinerea,110.136,Naria_turdus,46.004,Thylacodes_riisei,582.589,"Luria cinerea, commonly known as the Atlantic gray cowry, is a sea snail in the family Cypraeidae. The species is distributed from North Carolina, USA to Colombia and East Brazil. Its shell reaches a maximum recorded length of 45 mm. It inhabits depths ranging from the surface to 1472 meters. The shell of Luria cinerea shares morphological similarities with Naria turdus, which are evident in the smooth, elongated form typical of cowries. This contrasts sharply with Thylacodes riisei, which displays a significantly divergent morphology. The species' distance to mean shape of 110136 indicates its shell form is somewhat central to typical Gulf species, demonstrating moderate divergence within its family.","Luria cinerea, comúnmente conocida como la espiral gris del Atlántico, es un caracol marino de la familia Cypraeidae. La especie se distribuye desde Carolina del Norte, EE.UU. hasta Colombia y el este de Brasil. Su concha alcanza una longitud máxima registrada de 45 mm. Habita profundidades que varían desde la superficie hasta los 1472 metros. La concha de Luria cinerea comparte similitudes morfológicas con Naria turdus, evidentes en su forma alargada y suave, típica de los cowries. Esto contrasta marcadamente con Thylacodes riisei, que muestra una morfología significativamente divergente. La distancia al promedio de forma de la especie, de 110136, indica que su concha es algo central respecto a las especies típicas del Golfo, demostrando una divergencia moderada dentro de su familia.",Wikipedia: Luria cinerea | Wikipedia: Luria
Acanthinucella_punctulata,110.687,Cancellaria_reticulata,57.328,Caecum_heptagonum,592.355,"Acanthinucella punctulata, commonly known as the spotted thorn drupe, is a species of predatory sea snail in the family Muricidae, the murex or rock snails. The shell of Acanthinucella punctulata reaches a size of about 25 mm and features dark spiral markings resembling wide dots or dashes. This species is found on the West Coast of North America, spanning from Monterey, California to northern Baja California, Mexico. It inhabits rocky shores in the upper intertidal zone. Acanthinucella punctulata is morphologically similar to Cancellaria reticulata, sharing characteristics such as spiral ornamentation that facilitates identification. In contrast, the species is highly distinct from Caecum heptagonum, indicating a peripheral position in morphospace relative to typical Gulf forms.","Acanthinucella punctulata, comúnmente conocida como la drupa espinosa moteada, es una especie de caracol marino depredador de la familia Muricidae, los caracoles murex o caracoles de roca. La concha de Acanthinucella punctulata alcanza un tamaño de aproximadamente 25 mm y presenta marcas espirales oscuras que se asemejan a puntos o guiones amplios. Esta especie se encuentra en la costa oeste de América del Norte, desde Monterey, California hasta el norte de Baja California, México. Habita en las costas rocosas en la zona intermareal superior. Acanthinucella punctulata es morfológicamente similar a Cancellaria reticulata, compartiendo características como ornamentación espiral que facilita la identificación. En contraste, la especie es muy distinta de Caecum heptagonum, indicando una posición periférica en el espacio morfológico en relación con las formas típicas del Golfo.",Wikipedia: Acanthinucella punctulata | Wikipedia: Acanthinucella
Phrontis_vibex,111.647,Cancellaria_gemmulata,73.439,Caecum_heptagonum,568.318,"Phrontis vibex, commonly known as the bruised nassa, is a marine gastropod mollusk in the family Nassariidae. This species possesses an ovate, conical shell ranging from 10 mm to 20 mm in length. The shell features a spire with six or seven subconvex whorls distinguished by fine, close transverse striae and occasional nodosities. The aperture is rounded with a brown, banded interior. The shell exhibits an olive color with white or yellowish bands, and the columella is arcuated with a callosity that transitions from brown to white. Phrontis vibex is distributed throughout the northwest Atlantic, Gulf of Mexico, Caribbean Sea, and areas of the southwest Atlantic including numerous localities such as Massachusetts, Florida, Mexico, and Brazil. Morphologically, Phrontis vibex is closely akin to Cancellaria gemmulata, sharing traits such as nodulose whorls and a prominent spire, contrasting starkly with Caecum heptagonum, which is substantially different in shape. With a distance to mean shape of 111647, Phrontis vibex represents a typical central form within the Gulf’s marine gastropod biodiversity.","Phrontis vibex, comúnmente conocido como el nassa magullado, es un molusco gasterópodo marino de la familia Nassariidae. Esta especie posee una concha ovada y cónica que varía entre 10 mm y 20 mm de longitud. La concha presenta una espira con seis o siete vueltas subconvexas, distinguidas por finas estrías transversales cercanas y ocasionales nodosidades. La apertura es redondeada con un interior marrón con bandas. La concha exhibe un color oliva con bandas blancas o amarillentas, y la columela es arqueada con una callosidad que pasa de marrón a blanco. Phrontis vibex se distribuye a lo largo del noroeste atlántico, Golfo de México, Mar Caribe y áreas del suroeste atlántico, incluyendo numerosas localidades como Massachusetts, Florida, México y Brasil. Morfológicamente, Phrontis vibex está estrechamente relacionada con Cancellaria gemmulata, compartiendo características como las vueltas nodulosas y una espira prominente, contrastando fuertemente con Caecum heptagonum, que es sustancialmente diferente en forma. Con una distancia a la forma media de 111647, Phrontis vibex representa una forma central típica dentro de la biodiversidad de gasterópodos marinos del Golfo.",Wikipedia: Phrontis vibex | Wikipedia: Phrontis (gastropod)
Plicopurpura_patula,112.553,Cancellaria_gemmulata,105.144,Caecum_heptagonum,542.193,"Plicopurpura patula, also known as the widemouth rockshell or wide-mouthed purpura, is a species of sea snail classified in the family Muricidae. It is distributed along the tropical Western Atlantic coast from Florida to Trinidade and includes the Caribbean Sea. This species thrives in the intertidal splash zones of rocky shorelines exposed to regular wave action. Its shell morphology, shared with Cancellaria gemmulata, features a robust structure and a wide aperture, crucial for wave zone adaptation. Plicopurpura patula is notable for producing Tyrian purple, a historically significant dye. In contrast, Caecum heptagonum, the most morphologically distinct species, may differ significantly in overall shell form and ecological niche. The distance to mean shape for Plicopurpura patula is central, indicating a typical form found in the Gulf of California.","Plicopurpura patula, también conocido como el caracol de roca de boca ancha o purpura de boca ancha, es una especie de caracol marino clasificada en la familia Muricidae. Se distribuye a lo largo de la costa atlántica occidental tropical desde Florida hasta Trinidade y abarca el Mar Caribe. Esta especie prospera en las zonas de salpicaduras intermareales de costas rocosas expuestas a la acción regular de las olas. Su morfología de concha, compartida con Cancellaria gemmulata, presenta una estructura robusta y una amplia abertura, crucial para la adaptación a la zona de oleaje. Plicopurpura patula es notable por producir púrpura de Tiro, un tinte históricamente significativo. En contraste, Caecum heptagonum, la especie más distinta morfológicamente, puede diferir significativamente en forma general de la concha y nicho ecológico. La distancia a la forma media de Plicopurpura patula es central, indicando una forma típica encontrada en el Golfo de California.",Wikipedia: Plicopurpura patula | Wikipedia: Plicopurpura
Distorsio_clathrata,113.286,Columbella_aureomexicana,92.228,Thylacodes_riisei,598.462,"Distorsio clathrata, commonly known as the Atlantic distorsio, is a medium-sized sea snail belonging to the family Personidae. The shell can attain a maximum length of 79 mm, and features subturreted whorls that are distinctly distorted, giving it an irregular and ringent aperture. The shell structure includes a recurved siphonal canal, a dilated lamellar and rugosely indented inner lip, an excavated and verrucosely plicate columella, and a sinuous, internally plicato-dentate outer lip. The species is distributed in the Caribbean Sea, the Gulf of Mexico, and off the Lesser Antilles, extending in the Atlantic Ocean from North Carolina to Northeast Brazil. Habitat depths range from 0 m to 300 m. Morphologically, Distorsio clathrata is most similar to Columbella aureomexicana, sharing features like subturreted and distorted whorls. In contrast, it is morphologically most divergent from Thylacodes riisei. The distance to the mean shape suggests this species represents a central form typical for the Gulf rather than a divergent one.","Distorsio clathrata, comúnmente conocida como la distorsio del Atlántico, es un caracol de mar de tamaño mediano perteneciente a la familia Personidae. La concha puede alcanzar una longitud máxima de 79 mm y presenta espirales subturretadas que están claramente distorsionadas, lo que le da una apertura irregular y anillada. La estructura de la concha incluye un canal sifonal recurvado, un labio interno laminar dilatado e indentado rugosamente, una columela excavada y verrucosamente plicada, y un labio externo sinuoso e internamente plicato-dentado. La especie está distribuida en el Mar Caribe, el Golfo de México y al lado de las Antillas Menores, extendiéndose en el Océano Atlántico desde Carolina del Norte hasta el noreste de Brasil. Los rangos de profundidad del hábitat varían desde los 0 m hasta los 300 m. Morfológicamente, Distorsio clathrata es más similar a Columbella aureomexicana, compartiendo características como espirales subturretadas y distorsionadas. En contraste, es morfológicamente más divergente de Thylacodes riisei. La distancia a la forma media sugiere que esta especie representa una forma central típica para el Golfo más que divergente.",Wikipedia: Distorsio clathrata | Wikipedia: Distorsio
Crepidula_maculosa,114.126,Crepidula_fornicata,62.238,Thylacodes_riisei,56.332,"Crepidula maculosa is a species of sea snail, belonging to the family Calyptraeidae, commonly known as slipper snails or slipper limpets. The maximum recorded shell length of C. maculosa is 35 mm. It inhabits shallow waters with recorded depths ranging from 0 to 11 meters. C. maculosa has a shell morphology typical of the genus Crepidula with a simple shell, displaying features typical of its family's plastic morphology. It is morphologically similar to Crepidula fornicata, indicating shared shell traits, which include a coiled shell often resembling a slipper or limpet. In contrast, C. maculosa is notably different from Thylacodes riisei, which has a vastly different shell form. Regarding the distance to mean shape, Crepidula maculosa has a peripheral form in the Gulf, indicating divergence within the local morphological spectrum. The genus Crepidula is studied extensively for its protandrous sex-change behavior, environmentally mediated and dependent on snail associations, showcasing a unique aspect of their reproductive strategy.","Crepidula maculosa es una especie de caracol marino perteneciente a la familia Calyptraeidae, comúnmente conocida como caracoles zapatilla o lapas zapatilla. La longitud máxima registrada de la concha de C. maculosa es de 35 mm. Habita en aguas poco profundas con profundidades registradas que van de 0 a 11 metros. C. maculosa tiene una morfología de concha típica del género Crepidula con una concha simple, mostrando características típicas de la morfología plástica de su familia. Es morfológicamente similar a Crepidula fornicata, lo que indica características de concha compartidas, que incluyen una concha enrollada que a menudo se asemeja a una zapatilla o lapa. En contraste, C. maculosa es notablemente diferente de Thylacodes riisei, que tiene una forma de concha muy diferente. Con respecto a la distancia a la forma media, Crepidula maculosa tiene una forma periférica en el Golfo, lo que indica divergencia dentro del espectro morfológico local. El género Crepidula ha sido estudiado extensivamente por su comportamiento de cambio de sexo protándrico, ambientalmente mediado y dependiente de asociaciones de caracoles, mostrando un aspecto único de su estrategia reproductiva.",Wikipedia: Crepidula maculosa | Wikipedia: Crepidula
Amphithalamus_inclusus,114.223,Littoraria_nebulosa,5.648,Thylacodes_riisei,567.797,"Amphithalamus inclusus is a species of minute sea snail within the family Anabathridae. The shell measures approximately 1.1 mm in length and 0.9 mm in diameter. Its morphology is characterized by strongly rounded post-nuclear whorls with a weak keel at the periphery. The shell features relatively broad spiral lirations with a pale brown coloration and a flesh-colored columellar region. It possesses an oval aperture that is contracted by a columellar shelf, creating a pit behind its edge. The operculum is thin and paucispiral. The species is distributed off the western coast of North America.

In terms of morphological similarity, Amphithalamus inclusus shares some shell traits with Littoraria nebulosa, such as rounded whorls and a peripheral keel, differentiating it from Thylacodes riisei, which is more morphologically disparate. The distance to mean shape is relatively central, indicating a typical form within the Gulf of California.","Amphithalamus inclusus es una especie de caracol de mar diminuto de la familia Anabathridae. La concha mide aproximadamente 1.1 mm de longitud y 0.9 mm de diámetro. Su morfología se caracteriza por tener vueltas post-nucleares fuertemente redondeadas con un pequeño quilla en la periferia. La concha presenta liraciones espirales relativamente anchas con una coloración marrón pálido y una región columelar color carne. Posee una abertura oval que está contraída por un estante columelar, creando una cavidad detrás de su borde. El opérculo es delgado y pauciespiral. La especie se distribuye frente a la costa occidental de América del Norte.

En cuanto a la similitud morfológica, Amphithalamus inclusus comparte ciertos rasgos de concha con Littoraria nebulosa, como las vueltas redondeadas y una quilla periférica, diferenciándose de Thylacodes riisei, que es morfológicamente más dispar. La distancia a la forma promedio es relativamente central, lo que indica una forma típica dentro del Golfo de California.",Wikipedia: Amphithalamus inclusus | Wikipedia: Amphithalamus
Californiconus_californicus,114.852,Conus_spurius,59.496,Thylacodes_riisei,598.231,"Californiconus californicus, known commonly as the Californian cone, is a marine gastropod mollusk in the family Conidae, distinguished by its predatory nature. The species inhabits cooler, temperate waters of the eastern Pacific Ocean along the coast of California from the Farallon Islands near San Francisco to Bahía Magdalena, Baja California Sur, Mexico. It occupies both rocky and sandy substrates in intertidal zones and subtidally up to depths of 30 meters.

The shell of Californiconus californicus is characterized by its grayish-brown hue, a thick periostracum, and a rounded shoulder. The spire is flat-sided, with a turgid, squat profile. It reaches a height of 25–40 mm. The shell's anterior notch is slight or absent, and the anal notch is shallow. The smooth periostracum and large operculum differ from other Conus species, particularly Conus spurius, which shares a general conical shape but typically displays nodulose shoulders and more elongated forms.

The feeding habits of Californiconus californicus are notably generalist; the snail preys on marine worms, fish, and other mollusks, exhibiting flexibility not commonly found in other cone snails that have specialized diets. This ecological generalism is accompanied by molecular and morphological divergence from closely related species.

Fossil records indicate its existence since the Late Pleistocene, highlighting its evolutionary continuity within coastal ecosystems.

While this species is central in morphological characterization typical of the Gulf of California cone snails, it contrasts with the notably differing Thylacodes riisei, which is more elongated and features unique radular formations.","Californiconus californicus, conocido comúnmente como el cono californiano, es un molusco gasterópodo marino de la familia Conidae, destacado por su naturaleza depredadora. La especie habita en aguas templadas más frías del océano Pacífico oriental a lo largo de la costa de California desde las Islas Farallón cerca de San Francisco hasta Bahía Magdalena, Baja California Sur, México. Ocupa sustratos rocosos y arenosos en zonas intermareales y hasta en profundidades de 30 metros.

La concha de Californiconus californicus se caracteriza por su tono marrón grisáceo, un periostraco grueso y un hombro redondeado. La espira es lateralmente plana, con un perfil turgente y rechoncho. Alcanza una altura de 25–40 mm. La muesca anterior es ligera o ausente y la muesca anal es poco profunda. El periostraco liso y el gran opérculo difieren de otras especies de Conus, especialmente de Conus spurius, que comparte un forma generalmente cónica pero que típicamente presenta hombros nodulosos y formas más alargadas.

Los hábitos alimenticios de Californiconus californicus son notablemente generalistas; el caracol se alimenta de gusanos marinos, peces y otros moluscos, exhibiendo una flexibilidad no común en otros caracoles cono que tienen dietas especializadas. Este generalismo ecológico se acompaña de divergencia molecular y morfológica con respecto a especies cercanas.

Los registros fósiles indican su existencia desde el Pleistoceno tardío, destacando su continuidad evolutiva dentro de los ecosistemas costeros.

Mientras esta especie es central en la caracterización morfológica típica de los caracoles cono del Golfo de California, contrasta con el notablemente diferente Thylacodes riisei, que es más alargado y presenta formaciones radulares únicas.",Wikipedia: Californiconus californicus | Wikipedia: Californiconus
Alanbeuella_corrugata,115.785,Tonna_pennata,96.584,Thylacodes_riisei,569.429,"Alanbeuella corrugata, commonly known as the gaudy frog shell, belongs to the family Bursidae. The shell of this species can reach a maximum length of 75 mm. It is ovate, somewhat depressed, and ponderous with a chestnut color. The whorls are marked by two or three rows of large, livid chestnut-colored pimples, and the varices are granulously ridged. The columella displays granulously wrinkled white wrinkles. The outer lip is flatly fimbriated, sinuated at the upper part, with brown coloration radiated with whitish grooves. Alanbeuella corrugata inhabits marine environments at depths ranging from 2 to 137 meters and is distributed across the Atlantic Ocean off West Africa, the Canary Islands, Cape Verdes, Brazil, the Caribbean Sea, the Gulf of Mexico, and the Lesser Antilles. It shows morphological similarity to Tonna pennata, sharing traits like similar varices and coloration patterns, while contrasting starkly with Thylacodes riisei, which exhibits different shell morphology. Alanbeuella corrugata is characterized by a shape distance to mean of 115785, indicating a central typical form within Gulf gastropods.","Alanbeuella corrugata, comúnmente conocida como la concha de rana vistosa, pertenece a la familia Bursidae. La concha de esta especie puede alcanzar una longitud máxima de 75 mm. Es ovada, algo deprimida y pesada, con un color castaño. Las vueltas están marcadas por dos o tres filas de grandes granos castaño pálido, y las varices están granuladas. La columela muestra arrugas granuladas blancas. El labio exterior está finamente fimbriado, con una sinuación en la parte superior, con una coloración marrón irradiada con surcos blanquecinos. Alanbeuella corrugata habita en ambientes marinos a profundidades que van desde 2 a 137 metros y se distribuye en el océano Atlántico frente a África Occidental, las Islas Canarias, Cabo Verde, Brasil, el mar Caribe, el Golfo de México y las Antillas Menores. Muestra similitud morfológica con Tonna pennata, compartiendo características como varices y patrones de color similares, mientras contrasta marcadamente con Thylacodes riisei, que exhibe una morfología de concha diferente. Alanbeuella corrugata se caracteriza por una distancia de forma media de 115785, indicando una forma central típica dentro de los gasterópodos del Golfo.",Wikipedia: Alanbeuella corrugata | Wikipedia: Alanbeuella
Strombus_pugilis,116.324,Semicassis_granulata,111.217,Thylacodes_riisei,540.123,"Strombus pugilis, commonly known as the West Indian fighting conch, is a species of marine gastropod mollusk within the family Strombidae. This species is distributed from Bermuda through southeastern Florida, the Caribbean Sea, and south to Brazil. The shell of Strombus pugilis is robust, heavy, and characterized by a stromboid notch. It typically reaches sizes up to 130 mm, although commonly 90 mm, and consists of 8 to 9 whorls. The shell displays subsutural spines, more pronounced in the last whorl, varying from salmon-pink, cream, or yellow, to orange, with a distinct dark purple stain anteriorly. It inhabits sandy and muddy substrates from the intertidal zone to depths of 55 meters. Strombus pugilis is a herbivore, consuming plants and algae. The species exhibits morphological similarities to Semicassis granulata through its robust shell form, contrasting significantly with Thylacodes riisei, which may suggest a peripheral position relative to the mean shape typical of Gulf species. Reproduction can occur throughout the year, with observed spawning aggregations and copulation at depths between 8 and 10 meters. The shell is used by local fishermen and is a zootherapeutic product in Brazil. Imposex has been documented in the species due to organic tin exposure, leading to potential population-level impacts.","Strombus pugilis, comúnmente conocido como el caracol de pelea de las Indias Occidentales, es una especie de molusco gasterópodo marino dentro de la familia Strombidae. Esta especie se distribuye desde Bermuda hasta el sureste de Florida, el mar Caribe y hacia el sur hasta Brasil. La concha de Strombus pugilis es robusta, pesada y se caracteriza por una muesca estromboide. Normalmente alcanza tamaños de hasta 130 mm, aunque comúnmente 90 mm, y consiste en 8 a 9 vueltas. La concha exhibe espinas subsuturales, más pronunciadas en la última vuelta, variando de color entre rosa salmón, crema o amarillo, a naranja, con una mancha púrpura oscura distintiva en la parte anterior. Habita en sustratos arenosos y fangosos desde la zona intermareal hasta profundidades de 55 metros. Strombus pugilis es herbívoro, consumiendo plantas y algas. La especie muestra similitudes morfológicas con Semicassis granulata a través de su forma de concha robusta, contrastando significativamente con Thylacodes riisei, lo que puede sugerir una posición periférica respecto a la forma media típica de las especies del Golfo. La reproducción puede ocurrir durante todo el año, con agregaciones de desove y copulación observadas a profundidades entre 8 y 10 metros. La concha es utilizada por pescadores locales y es un producto zooterapéutico en Brasil. Se ha documentado el imposex en la especie debido a la exposición a compuestos de estaño orgánico, lo que lleva a posibles impactos a nivel poblacional.",Wikipedia: Strombus pugilis | Wikipedia: Strombus
Conus_spurius,116.677,Californiconus_californicus,59.496,Thylacodes_riisei,585.674,"Conus spurius, commonly known as the alphabet cone, is a species of predatory and venomous sea snail within the family Conidae. This species is found from East Florida to Venezuela and the West Indies. It has a maximum recorded shell length of 80 mm. The shell is characterized by its white coloration with revolving series of spots and irregular or cloud-like markings of orange, chestnut, or chocolate, which often form interrupted bands. The base of the shell displays grooves while the spire shows a single broad sulcus. Conus spurius inhabits environments from the surface to depths of 64 meters. During its larval stage, which lasts only a few hours, it swims before settling on the substrate as a juvenile, aided by ocean currents for range extension. The closest species morphologically is Californiconus californicus, sharing several shell features. Conus spurius exhibits a mean shape in the Gulf of California, suggesting it is a typical form. In contrast, Thylacodes riisei is the most morphologically different within the region.","Conus spurius, comúnmente conocido como el cono alfabeto, es una especie de caracol marino depredador y venenoso perteneciente a la familia Conidae. Esta especie se encuentra desde el este de Florida hasta Venezuela y las Indias Occidentales. Tiene una longitud de concha máxima registrada de 80 mm. La concha se caracteriza por su coloración blanca con series de manchas y marcas irregulares o en forma de nube de color naranja, castaño o chocolate, que a menudo forman bandas interrumpidas. La base de la concha presenta surcos mientras que la espira muestra un amplio sulco único. Conus spurius habita en entornos desde la superficie hasta profundidades de 64 metros. Durante su etapa larvaria, que dura solo unas pocas horas, nada antes de asentarse en el sustrato como juvenil, ayudado por corrientes oceánicas para la extensión de su rango. La especie más cercana morfológicamente es Californiconus californicus, compartiendo varios rasgos de la concha. Conus spurius exhibe una forma promedio en el Golfo de California, lo que sugiere que es una forma típica. En contraste, Thylacodes riisei es la más diferente morfológicamente dentro de la región.",Wikipedia: Conus spurius | Wikipedia: Conus
Littoraria_nebulosa,11.679,Amphithalamus_inclusus,5.648,Thylacodes_riisei,564.916,"Littoraria nebulosa is a species of sea snail in the family Littorinidae, commonly referred to as winkles or periwinkles. It has a maximum recorded shell length of 28 mm. These snails are typically found at a depth range of -1 m to 0 m, indicating they inhabit intertidal zones. Within the Gulf of California, Littoraria nebulosa is postulated to have an ecological role similar to other Littoraria species, such as feeding on algal films and perhaps participating in complex ecological interactions typical of the family. Amphithalamus inclusus, the most morphologically similar species, shares typical gastropod shell features such as coiling and aperture form, although specific common traits to Littoraria nebulosa are less explicitly defined in existing literature. The morphologically distinct Thylacodes riisei contrasts sharply with Littoraria nebulosa, potentially in suture definition and coloration. Littoraria nebulosa's distance to mean shape suggests it maintains a relatively central morphological profile typical of Gulf of California gastropods.","Littoraria nebulosa es una especie de caracol marino de la familia Littorinidae, comúnmente conocida como bígaros o caracoles de mar. Su longitud máxima registrada de la concha es de 28 mm. Estos caracoles generalmente se encuentran en un rango de profundidad de -1 m a 0 m, lo que indica que habitan zonas intermareales. Dentro del Golfo de California, se sugiere que Littoraria nebulosa tiene un papel ecológico similar al de otras especies de Littoraria, como alimentarse de películas de algas y posiblemente participar en interacciones ecológicas complejas típicas de la familia. Amphithalamus inclusus, la especie más morfológicamente similar, comparte características típicas de concha de gasterópodo, como el enrollamiento y la forma del ápice, aunque los rasgos específicos comunes a Littoraria nebulosa son menos explícitos en la literatura existente. Thylacodes riisei, morfológicamente distinta, contrasta marcadamente con Littoraria nebulosa, potencialmente en la definición de las suturas y la coloración. La distancia de Littoraria nebulosa a la forma media sugiere que mantiene un perfil morfológico relativamente central típico de los gasterópodos del Golfo de California.",Wikipedia: Littoraria nebulosa | Wikipedia: Littoraria
Cyphoma_mcgintyi,11.733,Anachis_nigrofusca,74.142,Thylacodes_riisei,610.039,"The species Cyphoma mcgintyi, along with Cyphoma signatum, is genetically homogenous with Cyphoma gibbosum, indicating they are morphological variations of a single species. Description of the shell shows it is elongated in shape, with a smooth and shiny dorsum which can be white or orange. The shell size ranges from 18 mm to 45 mm in length, characterized by a thick transversal ridge on the dorsum. The base and interior are white or pinkish, with a wide aperture. The species exhibits a mantle tissue which covers the shell when alive, displaying bright orange-yellow coloration with black markings. It lives in tropical waters of the western Atlantic Ocean from North Carolina to Brazil, including the Gulf of Mexico and the Gulf of California. Its habitat ranges from a depth of 0.3 m to 90 m, where it commonly preys on soft corals such as Briareum spp., Gorgonia spp., Plexaura spp., and Plexaurella spp.

Morphological similarity is noted with Anachis nigrofusca due to similar elongated shape and surface texture, while contrast is evident with Thylacodes riisei, likely due to significant differences in shell structure. The distance to mean shape indicates Cyphoma mcgintyi has a more typical or central morphology compared to the Gulf's population variance.","La especie Cyphoma mcgintyi, junto con Cyphoma signatum, es genéticamente homogenea con Cyphoma gibbosum, lo que indica que son variaciones morfológicas de una única especie. La descripción de la concha muestra que es de forma alargada, con un dorso liso y brillante que puede ser blanco o naranja. El tamaño de la concha varía entre 18 mm y 45 mm de longitud, caracterizado por un espolón transversal grueso en el dorso. La base y el interior son blancos o rosados, con una amplia abertura. La especie exhibe un tejido del manto que cubre la concha cuando está viva, mostrando una coloración amarillo-naranja brillante con marcas negras. Vive en las aguas tropicales del océano Atlántico occidental desde Carolina del Norte hasta Brasil, incluyendo el Golfo de México y el Golfo de California. Su hábitat varía de una profundidad de 0.3 m a 90 m, donde se alimenta comúnmente de corales blandos como Briareum spp., Gorgonia spp., Plexaura spp., y Plexaurella spp.

Se destaca la similitud morfológica con Anachis nigrofusca debido a su forma alargada y textura superficial similar, mientras que el contraste es evidente con Thylacodes riisei, probablemente debido a diferencias significativas en la estructura de la concha. La distancia a la forma media indica que Cyphoma mcgintyi tiene una morfología más típica o central en comparación con la variabilidad de la población del Golfo.",Wikipedia: Flamingo tongue snail | Wikipedia: Flamingo tongue snail
Stramonita_floridana,12.051,Cancellaria_reticulata,44.822,Caecum_heptagonum,612.892,"Stramonita floridana is a species of sea snail in the family Muricidae, commonly known as rock snails. The shell size of this species ranges from 50 to 80 mm. It inhabits the Western Atlantic Ocean, particularly around Florida, USA. The shell has an elevated spire with simple or nodulous whorls, and a moderate aperture that is extended anteriorly. The columella of the shell is rounded and simple. The shell of Stramonita floridana has been observed to have morphological similarities to Cancellaria reticulata, a species with a broader distribution and distinct reticulated pattern, while being morphologically quite different from Caecum heptagonum, a much smaller species with a very different shell shape. Stramonita floridana appears to represent a central or typical form within its genus in the Gulf of California, given its specific shell morphometrics and standard features for the group within this geographical range.","Stramonita floridana es una especie de caracol marino de la familia Muricidae, comúnmente conocidos como caracoles de roca. El tamaño de la concha de esta especie varía de 50 a 80 mm. Habita en el Océano Atlántico occidental, particularmente alrededor de Florida, EE.UU. La concha tiene una espiral elevada con vueltas simples o nodulosas, y una apertura moderada que se extiende anteriormente. La columela de la concha es redondeada y simple. Se ha observado que la concha de Stramonita floridana tiene similitudes morfológicas con Cancellaria reticulata, una especie con una distribución más amplia y un patrón reticulado distintivo, mientras es morfológicamente bastante diferente de Caecum heptagonum, una especie mucho más pequeña con una forma de concha muy diferente. Stramonita floridana parece representar una forma central o típica dentro de su género en el Golfo de California, dada su morfometría específica y características estándar para el grupo dentro de este rango geográfico.",Wikipedia: Stramonita floridana | Wikipedia: Stramonita
Anachis_nigrofusca,12.053,Anachis_varia,31.659,Thylacodes_riisei,592.114,"Anachis nigrofusca is a species of sea snail in the family Columbellidae. The shell length of Anachis nigrofusca reaches up to 7.8 mm. It has a smaller, conoid shape with blackish-brown coloration marked by livid, radiating, somewhat undulate, and inconspicuous lines. The shell comprises six whorls, which are flattened with a slightly impressed suture. It features numerous radiating costules that continue to the base, with small, spirally decussate interspaces and impressed lines. The sculpture is often negligible, with spiral striae conspicuous around the base. The aperture of the shell is oblong with a varicose and sinuate outer lip that is internally 7-dentate. The inner lip is conspicuous and nearly smooth. This species is found in the Gulf of California and the Pacific Ocean off Mexico. It shares morphological traits with Anachis varia, such as the shell shape and ribbing patterns. In contrast, it is significantly different from Thylacodes riisei, indicating a peripheral position in shell morphology typical for Gulf species.","Anachis nigrofusca es una especie de caracol marino de la familia Columbellidae. La longitud de su concha alcanza hasta 7.8 mm. Tiene una forma cónica más pequeña, de color marrón negruzco, marcada con líneas lívidas, radiantes, algo onduladas y poco llamativas. La concha consta de seis vueltas, que son aplanadas con una sutura ligeramente impresas. Presenta numerosas costulas radiales que continúan hasta la base, con espacios intercostales espiralados descásicamente pequeños y líneas impresas. A menudo, la escultura es insignificante, con estrías espirales conspicuas alrededor de la base. La abertura de la concha es oblonga, con un borde externo varicoso y sinuoso que es internamente 7-dentado. El labio interno es conspicuo y casi liso. Esta especie se encuentra en el Golfo de California y en el Océano Pacífico frente a México. Comparte características morfológicas con Anachis varia, como la forma de la concha y los patrones de costillas. En contraste, es significativamente diferente de Thylacodes riisei, indicando una posición periférica en la morfología de la concha típica de especies del golfo.",Wikipedia: Anachis nigrofusca | Wikipedia: Anachis
