Species,Procrustes_distance_to_mean_shape,ficha_en,ficha_es,fuentes_wikipedia
Crassispira_appressa,303.513,"Crassispira appressa is a species of sea snail, a marine gastropod mollusk in the family Pseudomelatomidae. The length of the shell varies between 7.5 mm and 12 mm. This marine species occurs off Cabo San Lucas, Baja California, Mexico. Crassispira is a genus of small predatory sea snails with narrow, high-spired shells. Most species in this genus have a tall spire and a truncated anterior canal. The shell has strong axial ribs that do not cross the subsutural slope, and strong spiral threads between the ribs. The genus first appeared in the fossil record approximately 48.6 million years ago during the Eocene epoch and still exists today.","Crassispira appressa es una especie de caracol marino, un molusco gasterópodo marino de la familia Pseudomelatomidae. La longitud de su concha varía entre 7.5 mm y 12 mm. Esta especie marina se encuentra frente a Cabo San Lucas, Baja California, México. Crassispira es un género de pequeños caracoles marinos depredadores con conchas estrechas y de alta espira. La mayoría de las especies de este género tienen una espira alta y un canal anterior truncado. La concha presenta fuertes costillas axiales que no cruzan la pendiente subsutural y fuertes hilos espirales entre las costillas. El género apareció por primera vez en el registro fósil hace aproximadamente 48.6 millones de años durante el Eoceno y todavía existe en la actualidad.",Wikipedia: Crassispira appressa | Wikipedia: Crassispira
Goniofusus_dupetitthouarsi,301.268,"Goniofusus dupetitthouarsi is a marine gastropod mollusk in the family Fasciolariidae, known for the spindle snails and tulip snails. The shell of this species can reach lengths between 200 and 250 mm, with some specimens as large as 250 mm (10 inches). Commonly called the Giant Spindle and the Ornamented Spindle, it is also known in Mexico as tulipa’n blanco. Its shell is broad, elongated, and features a widely open siphonal canal with a slightly flaring distal opening. The aperture of the shell is large, consisting of eight to ten angular whorls. The lower whorls are marked with knobs and a high spiral. The shell surface is sculpted with coarse spiral lines and short axial ribs, forming spirally elongated tubercles on prominent peripheral cords. The exterior is typically white, covered with a yellowish-brown to greenish-brown periostracum. Habitats range from the intertidal zone to depths of 55 m, occupying sand and muddy sand substrates. This species is distributed along the Pacific Ocean, from the outer coast of Baja California, throughout the Gulf of California, and south to Ecuador, including the Galápagos Islands and Peru. With a Procrustes distance of 301268, the shell form of Goniofusus dupetitthouarsi is considered morphologically divergent from the group average.","Goniofusus dupetitthouarsi es un molusco gasterópodo marino de la familia Fasciolariidae, conocida por los caracoles huso y los caracoles tulipán. La concha de esta especie puede alcanzar longitudes entre 200 y 250 mm, con algunos especímenes tan grandes como 250 mm (10 pulgadas). Comúnmente llamado el huso gigante y el huso ornamentado, también se conoce en México como tulipa’n blanco. Su concha es ancha, alargada y presenta un canal sifonal ampliamente abierto con una abertura distal ligeramente ensanchada. La apertura de la concha es grande, compuesta por ocho a diez vueltas angulares. Las vueltas inferiores están marcadas con protuberancias y un espiral alto. La superficie de la concha está esculpida con líneas espirales gruesas y costillas axiales cortas, formando tubérculos alargados en espiral sobre cordones periféricos prominentes. El exterior es típicamente blanco, cubierto con un periostraco amarillento a marrón verdoso. Sus hábitats varían desde la zona intermareal hasta profundidades de 55 m, ocupando sustratos de arena y arena fangosa. Esta especie se distribuye a lo largo del Océano Pacífico, desde la costa exterior de Baja California, a través del Golfo de California, y hacia el sur hasta Ecuador, incluidas las Islas Galápagos y Perú. Con una distancia de Procrustes de 301268, la forma de la concha de Goniofusus dupetitthouarsi se considera morfológicamente divergente del promedio del grupo.",Wikipedia: Goniofusus dupetitthouarsi | Wikipedia: Goniofusus
Calyptraea_mamillaris,285.632,"Calyptraea mamillaris belongs to the genus Calyptraea, commonly referred to as the Chinese hat snails. This genus is part of the family Calyptraeidae. Members of this family include species known as slipper snails or slipper limpets. The genus Calyptraea features species with a distinct shell morphology characterized by a cap-like shape, which resembles a Chinese hat. Specific morphological details or ecological notes for Calyptraea mamillaris were not found in the current literature sources. The Procrustes distance for the shell form of this species is 285632, indicating a highly divergent morphology from the group average.","Calyptraea mamillaris pertenece al género Calyptraea, comúnmente conocido como los caracoles sombrero chino. Este género es parte de la familia Calyptraeidae. Los miembros de esta familia incluyen especies conocidas como caracoles o lapas zapatilla. El género Calyptraea presenta especies con una morfología de concha distintiva caracterizada por una forma similar a un sombrero, que se asemeja a un sombrero chino. No se encontraron detalles morfológicos específicos o notas ecológicas para Calyptraea mamillaris en las fuentes literarias actuales. La distancia de Procrustes para la forma de la concha de esta especie es de 285632, lo que indica una morfología altamente divergente del promedio del grupo.",Wikipedia: Calyptraea | Wikipedia: Calyptraea
Cheilea_corrugata,271.923,"Cheilea corrugata is a species within the genus Cheilea, which belongs to the family Hipponicidae, also known as hoof snails. This species, like others in the genus, displays a limpet-like appearance. The typical shell length for species in this genus ranges between small sizes, though specific metrics for Cheilea corrugata are not detailed. The Procrustes distance of 271923 suggests that Cheilea corrugata has a shell form that is notably divergent from the group average, indicating a particularly unique morphology within its genus.","Cheilea corrugata es una especie dentro del género Cheilea, que pertenece a la familia Hipponicidae, también conocida como caracoles casco. Esta especie, al igual que otras en el género, presenta una apariencia similar a una lapa. La longitud típica de la concha para especies en este género varía entre tamaños pequeños, aunque no se detallan métricas específicas para Cheilea corrugata. La distancia de Procrustes de 271923 sugiere que Cheilea corrugata tiene una forma de concha notablemente divergente del promedio del grupo, indicando una morfología particularmente única dentro de su género.",Wikipedia: Cheilea | Wikipedia: Cheilea corrugata
Araiofusus_colpoicus,265.927,"Araiofusus colpoicus is a marine gastropod mollusk in the family Fasciolariidae, known as spindle snails or tulip snails. It resembles Barbarofusus barbarensis at around 60 mm in length but can be distinguished by having 13 narrower axial ribs compared to 11 in B. barbarensis, and the ribs are separated by wider interspaces. The spiral sculpture is more pronounced, with sharper revolving threads that exhibit alternation in size. On the penultimate whorl, there are 6 major and 6 minor spiral threads crossing the axial ribs without forming nodules. The shell reaches a length of 66 mm excluding the eroded nucleus and has 8 whorls. The aperture and a conspicuously tortuous siphonal canal measure a combined 36 mm. Araiofusus colpoicus is found in the Gulf of California. In a morphological context, its Procrustes distance to mean shape is 2659267066674730, indicating a significant divergence from the group average form.","Araiofusus colpoicus es un molusco gasterópodo marino de la familia Fasciolariidae, conocida como caracoles huso o caracoles tulipán. Se asemeja a Barbarofusus barbarensis en aproximadamente 60 mm de longitud, pero se distingue por tener 13 costillas axiales más estrechas en comparación con 11 en B. barbarensis, y las costillas están separadas por espacios más anchos. La escultura espiral es más pronunciada, con hilos revolventes más nítidos que muestran alternancia en tamaño. En la vuelta penúltima, hay 6 hilos espirales mayores y 6 menores que cruzan las costillas axiales sin formar nódulos. La concha alcanza una longitud de 66 mm, excluyendo el núcleo erosionado, y tiene 8 vueltas. La apertura y un canal sifonal visiblemente tortuoso miden un total de 36 mm. Araiofusus colpoicus se encuentra en el Golfo de California. En un contexto morfológico, su distancia de Procrustes al promedio de la forma es 2659267066674730, lo que indica una divergencia significativa de la forma promedio del grupo.",Wikipedia: Araiofusus colpoicus | Wikipedia: Araiofusus
Crucibulum_umbrella,265.631,"The genus Crucibulum, known as cup-and-saucer snails, belongs to the family Calyptraeidae. Crucibulum umbrella was described by Deshayes in 1830. The shell morphology typical of the genus features a conical shape resembling a cup sitting on a saucer, with distinct whorls and an open suture. Shell coloration varies and may include shades and patterns typical of the genus. Ecologically, Crucibulum species inhabit marine environments and prefer shallow waters but specifics for Crucibulum umbrella were not documented. This species exhibits a higher Procrustes distance of 265631, indicating a morphologically divergent shell form relative to the genus average, which might affect its ecological niche and adaptability.","El género Crucibulum, conocido como caracoles de taza y platillo, pertenece a la familia Calyptraeidae. Crucibulum umbrella fue descrito por Deshayes en 1830. La morfología de la concha típica del género presenta una forma cónica que se asemeja a una taza sentada sobre un platillo, con vueltas de espiral distintas y una sutura abierta. La coloración de la concha varía e incluye tonos y patrones típicos del género. Ecológicamente, las especies de Crucibulum habitan entornos marinos y prefieren aguas poco profundas, aunque los detalles específicos para Crucibulum umbrella no fueron documentados. Esta especie exhibe una distancia Procrustes más alta de 265631, lo que indica una forma de concha morfológicamente divergente en relación con el promedio del género, lo que podría afectar su nicho ecológico y adaptabilidad.",Wikipedia: Crucibulum (gastropod) | Wikipedia: Crucibulum
Hormospira_maculosa,25.923,"Hormospira maculosa is a species of marine gastropod mollusk in the family Pseudomelatomidae. Known to occur in marine environments, it is the sole species within the genus Hormospira. This species was described by G. B. Sowerby I in 1834. The taxonomy of Hormospira maculosa is as follows: Kingdom Animalia, Phylum Mollusca, Class Gastropoda, Subclass Caenogastropoda. Exact morphological details such as shell shape, size, and coloration were not specified in the sources. Hormospira maculosa is unique in its genus, and a Procrustes distance value of 259230422485577 suggests a highly divergent shell form compared to the average within its group.","Hormospira maculosa es una especie de molusco gasterópodo marino de la familia Pseudomelatomidae. Conocida por habitar entornos marinos, es la única especie dentro del género Hormospira. Esta especie fue descrita por G. B. Sowerby I en 1834. La taxonomía de Hormospira maculosa es la siguiente: Reino Animalia, Filo Mollusca, Clase Gastropoda, Subclase Caenogastropoda. Los detalles morfológicos exactos como la forma de la concha, el tamaño y la coloración no fueron especificados en las fuentes. Hormospira maculosa es única en su género, y un valor de distancia de Procrustes de 259230422485577 sugiere una forma de concha altamente divergente comparada con el promedio dentro de su grupo.",https://www.semanticscholar.org/topic/Hormospira/2609640 | WoRMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=589094
Atrimitra_effusa,253.437,"Atrimitra effusa is a species of marine gastropod mollusk belonging to the genus Atrimitra in the family Mitridae. This species is part of the group known as miter snails. While details specific to Atrimitra effusa are not provided in the sources, the genus Atrimitra includes several species suggested to have similar ecological and morphological traits, such as species like Atrimitra idae which exhibit strong, heavy shells and specialize in carnivorous feeding behaviors. The genus distribution extends from Northern California to Baja California, Mexico. The shell morphology of Atrimitra species typically includes variation in size, ranging from 20 to 60 millimeters for such species as Atrimitra idae. Atrimitra effusa, with a Procrustes distance of 253437, indicates a morphologically divergent shell form compared to the typical forms within its genus, suggesting unique adaptations or morphological characteristics. No WoRMS data was available specifically for Atrimitra effusa.","Atrimitra effusa es una especie de molusco gasterópodo marino perteneciente al género Atrimitra de la familia Mitridae. Esta especie forma parte del grupo conocido como caracoles mitra. Aunque los detalles específicos para Atrimitra effusa no se proporcionan en las fuentes, el género Atrimitra incluye varias especies que se sugieren tener características ecológicas y morfológicas similares, como especies como Atrimitra idae que exhiben conchas fuertes y pesadas y se especializan en comportamientos alimenticios carnívoros. La distribución del género se extiende desde el norte de California hasta Baja California, México. La morfología de la concha de las especies de Atrimitra generalmente incluye variaciones en tamaño, que van de 20 a 60 milímetros para especies como Atrimitra idae. Atrimitra effusa, con una distancia de Procrustes de 253437, indica una forma de concha morfológicamente divergente en comparación con las formas típicas dentro de su género, lo que sugiere adaptaciones únicas o características morfológicas. No se disponía de datos de WoRMS específicamente para Atrimitra effusa.",Wikipedia: Atrimitra effusa | Wikipedia: Atrimitra
Hypterita_helicoides,25.219,"Hypterita helicoides belongs to the Kingdom Animalia, Phylum Mollusca, Class Gastropoda, Order Littorinimorpha, Superfamily Naticoidea, and Family Naticidae, Subfamily Polinicinae. This species was originally described by Gray in 1825. It falls under the subclass Caenogastropoda within the broader classification. The Procrustes distance to mean shape for this species is noted to be 25218991345994700, marking it as having a highly divergent shell form compared to the group average. As part of the Naticidae family, commonly known as moon snails, these gastropods are characterized by a generally globular shell shape. Naticidae members are known for their predatory habits, primarily hunting bivalves. Their shells exhibit boring holes produced to access the prey inside.","Hypterita helicoides pertenece al Reino Animalia, Filo Mollusca, Clase Gastropoda, Orden Littorinimorpha, Superfamilia Naticoidea y Familia Naticidae, Subfamilia Polinicinae. Esta especie fue descrita originalmente por Gray en 1825. Se encuentra en la subclase Caenogastropoda dentro de la clasificación más amplia. La distancia de Procrustes a la forma media para esta especie se observa en 25218991345994700, lo que la marca como una forma de concha altamente divergente en comparación con el promedio del grupo. Como parte de la familia Naticidae, comúnmente conocida como caracoles lunares, estos gasterópodos se caracterizan por una forma de concha generalmente globular. Los miembros de Naticidae son conocidos por sus hábitos depredadores, cazando principalmente bivalvos. Sus conchas presentan perforaciones realizadas para acceder a la presa en su interior.",Wikipedia: Polinices | Wikipedia: Naticidae | WoRMS: https://marinespecies.org
Mazatlania_fulgurata,25.128,"Mazatlania fulgurata is a species of sea snail in the family Columbellidae, commonly known as the dove snails. It falls under the kingdom Animalia, phylum Mollusca, and class Gastropoda. Within Gastropoda, it is part of the subclass Caenogastropoda and the order Neogastropoda. Mazatlania fulgurata was originally described by R. A. Philippi in 1846. This species is associated with the Eastern Pacific, but specific distribution and morphological details were not recovered from the available sources.","Mazatlania fulgurata es una especie de caracol marino de la familia Columbellidae, comúnmente conocida como los caracoles paloma. Pertenece al reino Animalia, phylum Mollusca y clase Gastropoda. Dentro de los Gastropoda, es parte de la subclase Caenogastropoda y el orden Neogastropoda. Mazatlania fulgurata fue descrita originalmente por R. A. Philippi en 1846. Esta especie está asociada con el Pacífico Oriental, pero no se recuperaron detalles específicos de distribución y morfología de las fuentes disponibles.",WoRMS: https://www.marinespecies.org/ | MolluscaBase: https://www.molluscabase.org/
Hesperaptyxis_ambustus,250.714,"Hesperaptyxis ambustus is a species of marine gastropod mollusk in the family Fasciolariidae, commonly known as spindle snails or tulip snails. It is a part of the genus Hesperaptyxis, which includes several related species. The shell morphology of Hesperaptyxis ambustus is typical of many spindle snails, suggesting a range of sizes with characteristic spiraling and elongated form. It exhibits significant morphological variation compared to the average group form, as indicated by its high Procrustes distance, making it a divergent form within the genus. This species is known in the Eastern Pacific region, although specific details on its ecological roles, feeding behavior, or reproductive strategies are not detailed in the available literature.","Hesperaptyxis ambustus es una especie de molusco gasterópodo marino de la familia Fasciolariidae, comúnmente conocida como caracoles huso o caracoles tulipán. Es parte del género Hesperaptyxis, que incluye varias especies relacionadas. La morfología de la concha de Hesperaptyxis ambustus es típica de muchos caracoles huso, sugiriendo un rango de tamaños con espirales y forma alargada característica. Muestra una variación morfológica significativa en comparación con la forma promedio del grupo, como lo indica su alta distancia de Procrustes, lo que la convierte en una forma divergente dentro del género. Esta especie se conoce en la región del Pacífico oriental, aunque los detalles específicos sobre sus roles ecológicos, comportamiento alimentario o estrategias reproductivas no están detallados en la literatura disponible.",Wikipedia: Hesperaptyxis ambustus | Wikipedia: Hesperaptyxis
